Learning rate = 10.0
Epoch 1
X | Y | Z | V | w1 | w2 | w3 | w4 | dot | y | t | t-y | a(t-y) | dW1 | dW2 | dW3 | dW4
--------------------------------------------------------------------------------------
3.0 | 10.0 | 9.0 | -1 | 0.0 |  0.0 | 0.0 | 0.0 | 0.0 | 1 |  0 | -1 | -10.0 | -30.0 | -100.0 | -90.0 | 10.0

9.0 | 2.0 | 7.0 | -1 | -30.0 |  -100.0 | -90.0 | 10.0 | -1110.0 | 0 |  1 | 1 | 10.0 | 90.0 | 20.0 | 70.0 | -10.0

1.0 | 9.0 | 1.0 | -1 | 60.0 |  -80.0 | -20.0 | 0.0 | -680.0 | 0 |  0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.0

8.0 | 6.0 | 3.0 | -1 | 60.0 |  -80.0 | -20.0 | 0.0 | -60.0 | 0 |  1 | 1 | 10.0 | 80.0 | 60.0 | 30.0 | -10.0

1.0 | 2.0 | 0.0 | -1 | 140.0 |  -20.0 | 10.0 | -10.0 | 110.0 | 1 |  0 | -1 | -10.0 | -10.0 | -20.0 | -0.0 | 10.0

9.0 | 8.0 | 2.0 | -1 | 130.0 |  -40.0 | 10.0 | 0.0 | 870.0 | 1 |  1 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.0

0.0 | 7.0 | 5.0 | -1 | 130.0 |  -40.0 | 10.0 | 0.0 | -230.0 | 0 |  0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.0

9.0 | 1.0 | 5.0 | -1 | 130.0 |  -40.0 | 10.0 | 0.0 | 1180.0 | 1 |  1 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.0

4.0 | 0.0 | 4.0 | -1 | 130.0 |  -40.0 | 10.0 | 0.0 | 560.0 | 1 |  0 | -1 | -10.0 | -40.0 | -0.0 | -40.0 | 10.0

10.0 | 6.0 | 8.0 | -1 | 90.0 |  -40.0 | -30.0 | 10.0 | 410.0 | 1 |  1 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.0

4.0 | 10.0 | 6.0 | -1 | 90.0 |  -40.0 | -30.0 | 10.0 | -230.0 | 0 |  0 | 0 | 0.0 | 0.0 | 0.0 | 0.0 | -0.0

